-175,00	786,04
-170,00	755,59
-165,00	707,06
-160,00	648,47
-155,00	606,65
-150,00	516,69
-145,00	450,65
-140,00	374,98
-135,00	313,90
-130,00	256,73
-125,00	259,23
-120,00	272,94
-115,00	313,58
-110,00	367,45
-105,00	408,79
-100,00	425,41
-95,00	442,56
-90,00	447,22
-85,00	434,51
-80,00	388,42
-75,00	346,23
-70,00	312,63
-65,00	210,56
-60,00	144,59
-55,00	63,17
-50,00	104,55
-45,00	210,18
-40,00	292,22
-35,00	385,32
-30,00	477,65
-25,00	556,22
-20,00	624,06
-15,00	684,23
-10,00	724,45
-5,00	745,86
0,00	765,94
5,00	755,28
10,00	715,64
15,00	681,80
20,00	612,86
25,00	547,75
30,00	481,45
35,00	377,30
40,00	316,62
45,00	221,19
50,00	175,45
55,00	163,57
60,00	211,37
65,00	259,45
70,00	317,02
75,00	362,68
80,00	384,68
85,00	401,50
90,00	406,05
95,00	385,76
100,00	352,24
105,00	308,11
110,00	253,29
115,00	191,04
120,00	139,68
125,00	129,05
130,00	188,70
135,00	270,17
140,00	369,16
145,00	446,65
150,00	546,03
155,00	613,27
160,00	690,86
165,00	747,47
170,00	770,18
175,00	795,87
180,00	792,84
-175,00	786,04
