-175,00	765,83
-170,00	730,37
-165,00	696,90
-160,00	649,15
-155,00	599,07
-150,00	518,07
-145,00	487,50
-140,00	458,60
-135,00	447,68
-130,00	432,31
-125,00	461,78
-120,00	479,57
-115,00	520,13
-110,00	578,72
-105,00	599,76
-100,00	630,65
-95,00	640,91
-90,00	647,47
-85,00	634,12
-80,00	610,92
-75,00	579,22
-70,00	559,20
-65,00	532,81
-60,00	512,61
-55,00	521,95
-50,00	506,95
-45,00	527,89
-40,00	554,85
-35,00	585,69
-30,00	635,58
-25,00	666,77
-20,00	714,81
-15,00	741,24
-10,00	773,20
-5,00	782,93
0,00	789,05
5,00	773,15
10,00	765,92
15,00	729,09
20,00	700,61
25,00	652,90
30,00	626,53
35,00	605,41
40,00	573,37
45,00	542,06
50,00	547,86
55,00	547,81
60,00	559,33
65,00	578,63
70,00	619,91
75,00	626,12
80,00	641,14
85,00	644,89
90,00	645,37
95,00	640,92
100,00	630,11
105,00	604,49
110,00	591,66
115,00	553,95
120,00	542,08
125,00	536,33
130,00	546,03
135,00	559,73
140,00	598,17
145,00	637,77
150,00	658,96
155,00	704,43
160,00	746,38
165,00	761,04
170,00	787,26
175,00	794,72
180,00	780,99
-175,00	765,83
