-175,00	686,23
-170,00	671,95
-165,00	656,96
-160,00	656,72
-155,00	633,36
-150,00	615,38
-145,00	605,11
-140,00	575,12
-135,00	554,31
-130,00	532,93
-125,00	505,80
-120,00	474,24
-115,00	460,94
-110,00	449,04
-105,00	430,40
-100,00	422,20
-95,00	422,16
-90,00	428,04
-85,00	431,23
-80,00	416,62
-75,00	420,67
-70,00	440,12
-65,00	443,48
-60,00	455,25
-55,00	465,10
-50,00	469,35
-45,00	477,10
-40,00	478,46
-35,00	494,43
-30,00	487,19
-25,00	507,47
-20,00	503,18
-15,00	503,55
-10,00	505,86
-5,00	497,92
0,00	500,44
5,00	505,51
10,00	477,91
15,00	499,26
20,00	499,57
25,00	504,02
30,00	504,47
35,00	531,50
40,00	536,89
45,00	556,45
50,00	577,72
55,00	584,54
60,00	603,93
65,00	623,90
70,00	647,10
75,00	660,02
80,00	680,36
85,00	694,43
90,00	711,71
95,00	709,51
100,00	720,71
105,00	725,17
110,00	717,93
115,00	723,13
120,00	721,81
125,00	718,54
130,00	728,59
135,00	715,68
140,00	720,17
145,00	709,28
150,00	707,49
155,00	715,36
160,00	705,40
165,00	709,10
170,00	702,51
175,00	699,24
180,00	684,70
-175,00	686,23
